config	model	scheme	fold	macro_f1	f1_obj	f1_subj	accuracy	n_test	best_param	n_features
w13-tf-lower-stem	nb	grouped	0	0.6839	0.7487	0.619	0.6972	317	0.1	11382
w13-tf-lower-stem	nb	grouped	1	0.6967	0.7473	0.6462	0.7051	312	0.1	11197
w13-tf-lower-stem	nb	grouped	2	0.6668	0.7228	0.6107	0.6762	315	0.1	11250
w13-tf-lower-stem	nb	grouped	3	0.6266	0.6984	0.5547	0.6404	317	0.1	11383
w13-tf-lower-stem	nb	grouped	4	0.7091	0.7443	0.6739	0.7134	314	0.1	11323
w13-tf-lower-stem	nb	grouped	5	0.754	0.7911	0.717	0.7596	312	0.1	11338
w13-tf-lower-stem	nb	grouped	6	0.75	0.8083	0.6917	0.7636	313	0.1	11418
w13-tf-lower-stem	nb	grouped	7	0.7543	0.7933	0.7154	0.7605	309	0.1	11479
w13-tf-lower-stem	nb	grouped	8	0.7186	0.7705	0.6667	0.7282	309	0.1	11356
w13-tf-lower-stem	nb	grouped	9	0.7302	0.7781	0.6824	0.7387	310	0.1	11260
